idmeter,r_entr_d2d_median,r_entr_d2d_morn_median,r_entr_d2d_daytime_median,r_entr_d2d_pre-peak_median,r_entr_d2d_peak_median,r_entr_d2d_post-peak_median,r_entr_d2mean_median,r_entr_d2mean_morn_median,r_entr_d2mean_daytime_median,r_entr_d2mean_pre-peak_median,r_entr_d2mean_peak_median,r_entr_d2mean_post-peak_median,daily_mean,total_cons
22953697.0,0.046968712999999995,0.0258726195,0.023475261,0.0220859305,0.026252848000000002,0.0058050954999999994,0.2041161795,0.052681439,0.035752377,0.021125232,0.032448114,0.010670462,140.22568,101781.586
22953684.0,0.063778155,0.024492801,0.023841798,0.02686874,0.032783281,0.011657913,0.301183977,0.061137897,0.034269258,0.029756787,0.049174317,0.012256784,139.3410357,54621.686
23257432.0,3.370275292,0.055139286,0.065218687,0.043959906,0.089501089,0.022653983,0.729087539,0.017749966,0.056485336,0.045861935,0.205346287,0.003743073,127.0224231,49538.745
22818303.0,0.046159386499999996,0.015355514,0.0350245485,0.023929034000000002,0.0354072005,0.0116773015,0.226611821,0.013204657500000001,0.036848515,0.05494136,0.0569634175,0.0144521985,108.1606394,42290.81
22954023.0,0.028871066,0.011208654,0.024736795,0.022270575,0.022659238,0.00680684,0.20785569,0.024620942,0.053335141,0.04717239,0.047073562,0.025064659,87.65821026,34186.702
22818337.0,0.096846435,0.014789316,0.04764218,0.050191686,0.048455499,0.012442461,0.392255236,0.026298609,0.056101889,0.071756349,0.048876794,0.015304427,77.75408974,30324.095
22953974.0,0.067219128,0.027150064,0.02834464,0.032362691,0.032697789,0.0094727,0.302304617,0.084813595,0.02840418,0.04468419,0.048722148,0.013410973,76.32427692,29766.468
22954081.0,0.594555098,0.067237483,0.069612343,0.078345861,0.119154588,0.018238665,0.524450014,0.028035274,0.04707199,0.061827087,0.064660633,0.01738333,76.11760769,29685.867
23256877.0,0.082834237,0.0188863625,0.0380023355,0.033918307499999995,0.033861237,0.0093919235,0.33871704550000004,0.033800791499999996,0.0804448865,0.06790128449999999,0.054456107000000004,0.0167962805,74.27609974,29041.955
22953963.0,0.019035711,0.012062275,0.014632312,0.011337702,0.018999559,0.004964443,0.169647467,0.020290836,0.02838517,0.025377244,0.025014418,0.020390998,68.99322821,26907.359
22954000.0,0.160497496,0.020053236500000002,0.0523142875,0.0435803625,0.0321426425,0.012114027999999999,0.5532716495,0.039348147,0.0881761005,0.079725585,0.041871068,0.017637985000000002,65.13282609,25466.935
23257463.0,1.6254254664999999,0.011594287,0.132449105,0.13206355549999998,0.187787333,0.012252481999999999,0.7739517265,0.0210634715,0.067257469,0.0601814095,0.2856881215,0.013228183000000001,61.95474425,24224.305
22818019.0,0.127766928,0.029307346,0.034139422,0.029167321,0.036043243,0.01775378,0.183197693,0.065795733,0.037776908,0.031455919,0.04296593,0.021515063,60.061875,23544.255
23257523.0,0.11990219,0.060307298,0.00924901,0.009717829,0.127053321,0.006545784,0.522656706,0.056081646,0.023584849999999997,0.0366212125,0.1500111625,0.002226065,59.92807494,23192.165
22818042.0,0.2388920955,0.051999081,0.068346085,0.048721943000000004,0.024899509,0.004131276999999999,0.96899664,0.113888986,0.1836180625,0.056607791000000005,0.024668227,0.010127805,59.55691214,23048.525
23257471.0,0.162452671,0.02454451,0.04235198,0.041538291,0.053617973,0.004830592,0.62072298,0.020816533,0.083991752,0.065970296,0.057919545,0.014005442,54.62246154,21302.76
22813974.0,0.644359973,0.11461898,0.05645762,0.046643128,0.157685721,0.00028551,0.975910096,0.032810315,0.173726633,0.172792519,0.027282327,0.001644172,54.47287692,21244.422
23257473.0,0.258885775,0.025922639,0.037022318,0.026343198,0.041439584,0.001568051,0.761956386,0.009323863,0.10211121,0.062799838,0.137211756,0.009014284,54.11469231,21104.73
23257106.0,0.182869271,0.035544606,0.037408629,0.03478882,0.071984638,0.0064463,0.616842541,0.034194358,0.034499625,0.077463868,0.121230467,0.013733975,53.48595663,20966.495
22953762.0,0.097932678,0.0138389055,0.039072898999999994,0.0298897755,0.042322515,0.011627485,0.3278569335,0.0243512175,0.0622236015,0.0568778095,0.021396105,0.018255035,51.85676471,20275.995
23257274.0,4.551567846,0.090943533,0.033192913,0.041986449,2.917315046,2.718524609,0.739565554,0.045038048,0.051064113,0.091470989,0.078167931,0.006071164,51.33591026,20021.005
23257089.0,0.060989852,0.020141923,0.038000052,0.030186368,0.036569965,0.005097572,0.464352105,0.039259382,0.083633335,0.106429098,0.032767146,0.017704004,47.43232051,18498.605
22817964.0,0.059253312,0.012634098,0.035551661,0.0337834345,0.0266186365,0.0054781475,0.4897477,0.018640094,0.08296314099999999,0.083229638,0.06350798099999999,0.0166334395,46.22230179,18072.92
23257452.0,2.6346799704999997,0.17845088799999997,0.07012070200000001,0.047151936000000005,0.061384007000000004,0.010516674,0.732709577,0.029989939,0.04981891,0.073090835,0.048287696,0.014684952,45.10154731,17634.705
22818730.0,0.04130145,0.02763428,0.015338681,0.018987345,0.025998118,0.004024226,0.307222501,0.207544339,0.029866838,0.016110288,0.043077081,0.016524199,45.01704082,17646.68
22817968.0,0.047476429,0.0130266565,0.0254992775,0.019232634,0.020968615500000003,0.006342679,0.1586673255,0.023286216,0.0353200475,0.0257117095,0.013497924,0.025510469,44.49031969,17395.715
22817976.0,0.051718958,0.015216176,0.030431697,0.025566779,0.029327179,0.008875552,0.204358707,0.021638381,0.051428448,0.056950941,0.041669932,0.032593346,43.47407216,16867.94
23257191.0,2.302848709,2.176273367,0.061988671,0.052514747,0.19566836,0.589488096,0.697111634,0.011147758,0.044291374,0.050289353,0.213781214,0.006930818,43.17133929,16923.165
23256936.0,0.046139808500000004,0.008994587,0.0337939975,0.026917356,0.0290991475,0.005429152,0.3081053995,0.0403129075,0.0812831615,0.0690727655,0.0141371725,0.018015597,42.77951407,16726.79
23257125.0,0.116695961,0.036994499,0.08393515,0.035629217,0.033542319,0.014891844,0.549321824,0.071821723,0.184442833,0.045250641,0.085991823,0.01716123,42.14028205,16434.71
23257183.0,0.04676349,0.012167922,0.023111794,0.023059851,0.02810286,0.008547096,0.207026437,0.018153314,0.026219099,0.049808805,0.02604504,0.010218824,39.58512755,15517.37
23256875.0,0.075479633,0.024214716,0.021748977,0.023356777,0.034612444,0.003433916,0.417676596,0.044644396,0.041083753,0.029042809,0.124848762,0.016221341,37.6288648,14750.515
23257435.0,0.180515366,0.021918958,0.050181707,0.038152022,0.067405581,0.009761115,0.508203029,0.033366311,0.071695226,0.061490721,0.105135838,0.016987375,36.00132051,14040.515
23257048.0,0.13393504950000001,0.01489651,0.0334617085,0.0318983085,0.053158846999999995,0.008445734,0.485654874,0.030393050999999997,0.034874878,0.066730126,0.1160405655,0.0159768295,35.78891304,13993.465
23257512.0,1.986435475,0.531042967,0.0388843,0.04138005,1.247764795,0.530407132,0.744809347,0.0353659265,0.047739443,0.13878846,0.10263742149999999,0.009004357000000001,35.53537084,13894.33
22953964.0,3.383949554,0.00549379,0.033786001499999996,0.029026791,0.113833151,0.002304312,0.917073127,0.002753548,0.09960936,0.126901095,0.072297295,0.006718247,34.7256641,13543.009
22818214.0,0.1872791165,0.030527744,0.058407853499999995,0.044254644499999995,0.0467908165,0.013367083,0.48355715450000003,0.0784842755,0.078700147,0.0632894105,0.0260107065,0.016848311,32.68787724,12780.96
23257031.0,0.108304683,0.022578053,0.044402998,0.040184144,0.039134347,0.013744647,0.459046913,0.051659155,0.075330065,0.074069293,0.030491524,0.018058655,31.67316667,12352.535
22818051.0,0.0585550495,0.015991382999999998,0.0293448165,0.0256785945,0.027018371,0.0046832545,0.5775352075,0.036575262,0.0804831065,0.111251287,0.027012032999999998,0.0175050655,31.47985934,12308.625
23257190.0,0.310289951,0.014955955,0.074617471,0.06378874,0.128491414,0.005914973,0.725032968,0.024333551,0.048756624,0.091816,0.178357925,0.013254355,31.33485897,12220.595
23257437.0,6.650667072,0.140462605,0.066476126,0.059086968,0.228846844,0.0,0.7692565490000001,0.0170136015,0.037770268499999995,0.0471785475,0.2838591495,0.0,31.27479487,12197.17
23257036.0,0.051315176500000004,0.016599687000000002,0.0319221635,0.033517159,0.0265768445,0.00760506,0.358984984,0.021535346,0.080885482,0.0772362605,0.074965537,0.013254545999999999,31.21731458,12205.97
